primals,time,strategy,gaps,relgaps,dataset
-14412.025768571126,2.8364479541778564,unguarded_newton,3.455836122157052e-6,2.3978836685772033e-10,congress109
-14412.025768571131,2.839754819869995,unguarded_newton,3.397062755539082e-6,2.3571028876087564e-10,congress109
-14412.02576857113,2.84329891204834,unguarded_newton,3.336786903673783e-6,2.3152795847412687e-10,congress109
-14412.02576857113,2.846601963043213,unguarded_newton,3.275208655395545e-6,2.2725525946102046e-10,congress109
-14412.025768571128,2.850172996520996,unguarded_newton,3.21242623613216e-6,2.228990072400248e-10,congress109
-14412.025768571128,2.8536298274993896,unguarded_newton,3.148621544823982e-6,2.1847182314163668e-10,congress109
-14412.025768571133,2.8573248386383057,unguarded_newton,3.083947376580909e-6,2.1398430908347343e-10,congress109
-14412.02576857113,2.860639810562134,unguarded_newton,3.0185510695446283e-6,2.094466883432377e-10,congress109
-14412.025768571133,2.864179849624634,unguarded_newton,2.9525181162171066e-6,2.0486489294626284e-10,congress109
-14412.02576857113,2.867501974105835,unguarded_newton,2.8860031306976452e-6,2.0024965102347135e-10,congress109
-14412.025768571131,2.8709638118743896,unguarded_newton,2.8191443561809137e-6,1.9561055478604071e-10,congress109
-14412.025768571133,2.8748159408569336,unguarded_newton,2.7520381991053e-6,1.909542935391343e-10,congress109
-14412.025768571128,2.878361940383911,unguarded_newton,2.6847901608562097e-6,1.8628818765444046e-10,congress109
-14412.025768571126,2.881875991821289,unguarded_newton,2.6174784579779953e-6,1.8161766430407264e-10,congress109
-14412.025768571128,2.885895013809204,unguarded_newton,2.550250428612344e-6,1.7695294676573335e-10,congress109
-14412.025768571128,2.890105962753296,unguarded_newton,2.4831188056850806e-6,1.722949185325574e-10,congress109
-14412.025768571128,2.8937289714813232,unguarded_newton,2.4162654881365597e-6,1.676562009350417e-10,congress109
-14412.025768571128,2.8971948623657227,unguarded_newton,2.3496777430409566e-6,1.6303591048005142e-10,congress109
-14412.025768571131,2.9005839824676514,unguarded_newton,2.283508365508169e-6,1.584446490852039e-10,congress109
-14412.025768571128,2.904191017150879,unguarded_newton,2.21778464037925e-6,1.5388430995007382e-10,congress109
-14412.025768571126,2.9075019359588623,unguarded_newton,2.15259387914557e-6,1.4936095131329952e-10,congress109
-14412.02576857113,2.9110488891601562,unguarded_newton,2.087985194521025e-6,1.4487798093411518e-10,congress109
-14412.025768571126,2.914340019226074,unguarded_newton,2.0240004232618958e-6,1.404383017185352e-10,congress109
-14412.02576857113,2.917948007583618,unguarded_newton,1.960735971806571e-6,1.3604860297172274e-10,congress109
-14412.02576857113,2.9214768409729004,unguarded_newton,1.8981827452080324e-6,1.317082536271531e-10,congress109
-14412.02576857113,2.924863815307617,unguarded_newton,1.8364498828304932e-6,1.2742482648312437e-10,congress109
-14412.025768571124,2.928449869155884,unguarded_newton,1.7755482986103743e-6,1.2319907881946637e-10,congress109
-14412.025768571126,2.931752920150757,unguarded_newton,1.7155143723357469e-6,1.1903353490227841e-10,congress109
-14412.025768571124,2.935839891433716,unguarded_newton,1.6564081306569278e-6,1.1493235977062453e-10,congress109
-14412.025768571128,2.9399139881134033,unguarded_newton,1.5982186596374959e-6,1.1089479614467484e-10,congress109
-14412.02576857113,2.943739891052246,unguarded_newton,1.5410041669383645e-6,1.069248828501884e-10,congress109
-14412.025768571124,2.9473299980163574,unguarded_newton,1.4847846614429727e-6,1.0302400823351992e-10,congress109
-14412.025768571128,2.951288938522339,unguarded_newton,1.4295710570877418e-6,1.0e-10,congress109
