Fstar,time,final_relgap,reg,primal_relgaps,amplitude,gaps,primals,dual_relgaps,it,pass,s,relgaps,p_K,passes,duals,strategy,dual_bound,reached_tol,dual_cert,K,p,n
248.63682536667335,6.534209966659546,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988046,248.63682536670146,Float64(1000),3,922,5,0.630685698505056,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.5421929359436035,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988045994,248.63682536670143,Float64(1000),3,923,5,0.6306856985050557,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.549520015716553,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988046,248.63682536670146,Float64(1000),3,924,5,0.630685698505056,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.557409048080444,0.6306856985050722,0.05,Float64(1000),2.0,156.8116898804601,248.63682536670157,Float64(1000),3,925,5,0.6306856985050564,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.564759016036987,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988046022,248.6368253667017,Float64(1000),3,926,5,0.6306856985050568,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.572061061859131,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988046022,248.6368253667017,Float64(1000),3,927,5,0.6306856985050568,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.580086946487427,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988046034,248.63682536670183,Float64(1000),3,928,5,0.6306856985050573,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.587424039840698,0.6306856985050722,0.05,Float64(1000),2.0,156.8116898804604,248.63682536670186,Float64(1000),3,929,5,0.6306856985050575,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.595412015914917,0.6306856985050722,0.05,Float64(1000),2.0,156.8116898804605,248.63682536670197,Float64(1000),3,930,5,0.630685698505058,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.602726936340332,0.6306856985050722,0.05,Float64(1000),2.0,156.8116898804604,248.63682536670188,Float64(1000),3,931,5,0.6306856985050575,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.610688924789429,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988046034,248.63682536670183,Float64(1000),3,932,5,0.6306856985050573,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.618031978607178,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988046034,248.63682536670183,Float64(1000),3,933,5,0.6306856985050573,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.625377893447876,0.6306856985050722,0.05,Float64(1000),2.0,156.8116898804604,248.63682536670188,Float64(1000),3,934,5,0.6306856985050575,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.633341073989868,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988046045,248.6368253667019,Float64(1000),3,935,5,0.6306856985050577,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
248.63682536667335,6.640671968460083,0.6306856985050722,0.05,Float64(1000),2.0,156.81168988046045,248.63682536670194,Float64(1000),3,936,5,0.6306856985050577,0.005,1000,Float64(1000),exact,91.82513548624148,false,0.6306856985049428,5,200,500
