n,p_K,Fstar,passes,time,final_relgap,reg,strategy,amplitude,gaps,primals,reached_tol,dual_relgaps,dual_cert,it,pass,K,s,relgaps,p
500,0.02,255.8480867890387,20,0.07135701179504395,1.0e-20,0.05,exact,2.0,0.5724840321630609,256.42057082120175,true,Float64(33),7.563500487042623e-6,3,8,5,5,0.0022375935632268635,200
500,0.02,255.8480867890387,20,0.07669997215270996,1.0e-20,0.05,exact,2.0,0.32730628257530725,256.175393071614,true,Float64(33),7.563500487042623e-6,3,9,5,5,0.0012792993165713603,200
500,0.02,255.8480867890387,20,0.08173418045043945,1.0e-20,0.05,exact,2.0,0.18172591278488426,256.0298127018236,true,Float64(33),7.563500487042623e-6,3,10,5,5,0.0007102883397159331,200
500,0.02,255.8480867890387,20,0.08696317672729492,1.0e-20,0.05,exact,2.0,0.09977612506355626,255.94786291410225,true,Float64(33),7.563500487042623e-6,3,11,5,5,0.0003899819080758941,200
500,0.02,255.8480867890387,20,0.09169411659240723,1.0e-20,0.05,exact,2.0,0.05770091051255122,255.90578769955124,true,Float64(33),7.563500487042623e-6,3,12,5,5,0.00022552801248863316,200
500,0.02,255.8480867890387,20,0.09663796424865723,1.0e-20,0.05,exact,2.0,0.0332644071996242,255.8813511962383,true,Float64(33),7.563500487042623e-6,3,13,5,5,0.00013001624369015743,200
500,0.02,255.8480867890387,20,0.10130500793457031,1.0e-20,0.05,exact,2.0,0.018360396763142717,255.86644718580183,true,Float64(33),7.563500487042623e-6,3,14,5,5,7.176288473981011e-5,200
500,0.02,255.8480867890387,20,0.10591697692871094,1.0e-20,0.05,exact,2.0,0.00871778931315248,255.85680457835184,true,Float64(33),7.563500487042623e-6,3,15,5,5,3.407408444035305e-5,200
500,0.02,255.8480867890387,20,0.11079716682434082,1.0e-20,0.05,exact,2.0,0.003523974879783509,255.85161076391847,true,Float64(33),7.563500487042623e-6,3,16,5,5,1.3773700339175204e-5,200
500,0.02,255.8480867890387,20,0.11540102958679199,1.0e-20,0.05,exact,2.0,0.001520860911739419,255.84960764995043,true,Float64(33),7.563500487042623e-6,3,17,5,5,5.944390403018551e-6,200
500,0.02,255.8480867890387,20,0.12041711807250977,1.0e-20,0.05,exact,2.0,0.0006736205419315411,255.84876040958062,true,Float64(33),7.563500487042623e-6,3,18,5,5,2.632892629316316e-6,200
500,0.02,255.8480867890387,20,0.12544012069702148,1.0e-20,0.05,exact,2.0,0.00030320926958893324,255.84838999830828,true,Float64(33),7.563500487042623e-6,3,19,5,5,1.185114469270769e-6,200
500,0.02,255.8480867890387,20,0.12979412078857422,1.0e-20,0.05,exact,2.0,0.0001388027236544076,255.84822559176234,true,Float64(33),7.563500487042623e-6,3,20,5,5,5.42520076645554e-7,200
500,0.02,255.8480867890387,20,0.13439512252807617,1.0e-20,0.05,exact,2.0,6.446057349762668e-5,255.8481512496122,true,Float64(33),7.563500487042623e-6,3,21,5,5,2.519486243052429e-7,200
500,0.02,255.8480867890387,20,0.1388859748840332,1.0e-20,0.05,exact,2.0,3.037918452264421e-5,255.8481171682232,true,Float64(33),7.563500487042623e-6,3,22,5,5,1.1873915065737261e-7,200
500,0.02,255.8480867890387,20,0.14372515678405762,1.0e-20,0.05,exact,2.0,1.4515840177864447e-5,255.84810130487887,true,Float64(33),7.563500487042623e-6,3,23,5,5,5.673616856018777e-8,200
500,0.02,255.8480867890387,20,0.1481020450592041,1.0e-20,0.05,exact,2.0,7.026267837773048e-6,255.84809381530653,true,Float64(33),7.563500487042623e-6,3,24,5,5,2.7462655382553654e-8,200
500,0.02,255.8480867890387,20,0.15247416496276855,1.0e-20,0.05,exact,2.0,3.4420724261963187e-6,255.84809023111112,true,Float64(33),7.563500487042623e-6,3,25,5,5,1.3453578916282862e-8,200
500,0.02,255.8480867890387,20,0.15706706047058105,1.0e-20,0.05,exact,2.0,1.703554460164014e-6,255.84808849259315,true,Float64(33),7.563500487042623e-6,3,26,5,5,6.658460813774588e-9,200
