commit,cell_id,cell_name,mu0,reg,seed,n,p,lambda_,n_iter,stop_crit,primal,runtime,converged,intercept,strategy
8f9cbd77,28,cell_028,0.99,0.05,1,500,1000,0.0038902532336985924,13,7.375876786945568e-9,0.10820258355806944,0.32474046099923726,true,4.77291376591711,newton
8f9cbd77,29,cell_029,0.99,0.02,1,500,1000,0.001556101293479437,15,7.0313750245420276e-9,0.05564272578499109,0.809828692001247,true,6.040432074736058,newton
8f9cbd77,30,cell_030,0.99,0.01,1,500,1000,0.0007780506467397185,14,6.962113141529246e-9,0.032475559928411675,1.4128714539983775,true,7.021030234212463,newton
8f9cbd77,31,cell_031,0.5,0.5,2,500,1000,0.07663724828540176,1,1.20925422453233e-10,0.6609352854818289,0.006031519000316621,true,-0.11227330766568538,newton
8f9cbd77,32,cell_032,0.5,0.2,2,500,1000,0.030654899314160707,6,1.593408391342699e-11,0.5342035121858197,0.022241454000322847,true,-0.14763976839316828,newton
8f9cbd77,33,cell_033,0.5,0.1,2,500,1000,0.015327449657080354,9,1.4212735849339353e-10,0.41217658213900327,0.054081061000033515,true,-0.19307067287913707,newton
8f9cbd77,34,cell_034,0.5,0.05,2,500,1000,0.007663724828540177,12,2.707909764476657e-9,0.28686701020581584,0.1662127830004465,true,-0.2538538528306558,newton
8f9cbd77,35,cell_035,0.5,0.02,2,500,1000,0.0030654899314160704,14,6.434106532282602e-9,0.15781798748770304,0.32203015799859713,true,-0.32996739410305054,newton
8f9cbd77,36,cell_036,0.5,0.01,2,500,1000,0.0015327449657080352,16,9.235989966317054e-9,0.0951256463877391,0.8018466220000846,true,-0.38795558227320726,newton
8f9cbd77,37,cell_037,0.7,0.5,2,500,1000,0.07280085925900914,2,4.518581342427552e-11,0.641749428300927,0.008362746999409865,true,0.2966016323688892,newton
8f9cbd77,38,cell_038,0.7,0.2,2,500,1000,0.029120343703603658,5,4.010640257401388e-10,0.5096964677654545,0.018688714000745676,true,0.39139558607822716,newton
8f9cbd77,39,cell_039,0.7,0.1,2,500,1000,0.014560171851801829,9,2.4931937469413468e-9,0.3923875082897576,0.05381716800002323,true,0.48027039388345066,newton
8f9cbd77,40,cell_040,0.7,0.05,2,500,1000,0.0072800859259009145,12,9.062175579388487e-9,0.2713914433124407,0.1878168809998897,true,0.6199150718571396,newton
