passes,init_partial0F,init_relgap,final_relgap,nnz_solution,randomize,strategy,times,dataset,warm_start,reg_grid,lambdamax,start_kind,ordering
132,1166.5,0.9861086398646193,9.347647119925307e-9,122,false,exact,2.6384799480438232,w1a,false,0.026644713548591308,16.06419055308849,cold,cyclic
151,1166.5,0.9890286330690579,9.087309599900828e-9,138,false,exact,3.165919065475464,w1a,false,0.02016063531328705,16.06419055308849,cold,cyclic
168,1166.5,0.9913506071381764,8.79981695196733e-9,149,false,exact,3.5043389797210693,w1a,false,0.015254478735307905,16.06419055308849,cold,cyclic
202,1166.5,0.99319248065913,9.99721576804519e-9,157,false,exact,4.214426040649414,w1a,false,0.011542251415688211,16.06419055308849,cold,cyclic
281,1166.5,0.9946502894067152,9.84401276305327e-9,164,false,exact,6.050585985183716,w1a,false,0.008733406762343065,16.06419055308849,cold,cyclic
300,1166.5,0.9958018129373072,5.710222309065105e-7,173,false,exact,6.359570026397705,w1a,false,0.006608103647168024,16.06419055308849,cold,cyclic
300,1166.5,0.9967097497473592,3.5508919714527396e-5,177,false,exact,6.453426122665405,w1a,false,0.005000000000000002,16.06419055308849,cold,cyclic
2,1166.5,0.8103067618827862,-1.0471963586771903e-15,0,false,exact,0.01113581657409668,w1a,true,1.0,16.06419055308849,warm,cyclic
8,2.842170943040401e-14,0.09156777853976172,6.963913306661886e-9,4,false,exact,0.08772087097167969,w1a,true,0.756646727558943,16.06419055308849,warm,cyclic
32,2.2168933355715126e-12,0.07638263131997322,8.583501116469607e-9,13,false,exact,0.5383331775665283,w1a,true,0.5725142703256574,16.06419055308849,warm,cyclic
44,6.750155989720952e-14,0.06934509513056417,7.883569983393499e-9,15,false,exact,0.8242220878601074,w1a,true,0.43319104912270473,16.06419055308849,warm,cyclic
51,1.2789769243681803e-13,0.06430110765864387,9.001349549973589e-9,25,false,exact,0.7890129089355469,w1a,true,0.32777258972651985,16.06419055308849,warm,cyclic
81,3.552713678800501e-14,0.06101502573264768,9.933331965709431e-9,38,false,exact,1.3182001113891602,w1a,true,0.2480080574000913,16.06419055308849,warm,cyclic
